Day_of_Year,Week,Day,Week_Factor,Day_Factor,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included
12,2,5,0.01,0.14,130.032,129.70715138361268,32.78411503928922,96.92303634432346,162.4912664229019,75.61336156878548,183.8009411984399,53.320163342068795,206.09413942515658,Market growth + Tsukumo share growth + week seasonality + day seasonality
13,2,6,0.01,0.1,92.88000000000001,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
14,2,7,0.01,0.08,74.304,74.11837221920723,18.733780022451025,55.3845921967562,92.85215224165826,43.207635182163045,105.02910925625142,30.46866476689634,117.76807967151812,Market growth + Tsukumo share growth + week seasonality + day seasonality
15,3,1,0.0125,0.11,127.71,127.39095225176244,32.19868441358771,95.19226783817473,159.58963666535016,74.26312296934272,180.51878153418215,52.36801756810307,202.41388693542183,Market growth + Tsukumo share growth + week seasonality + day seasonality
16,3,2,0.0125,0.15,174.15,173.71493488876695,43.90729692761966,129.8076379611473,217.6222318163866,101.2678949581945,246.16197481933938,71.41093304741314,276.01893673012074,Market growth + Tsukumo share growth + week seasonality + day seasonality
17,3,3,0.0125,0.19,220.59,220.0389175257715,55.615909441651496,164.42300808412,275.654826967423,128.27266694704653,311.8051681044965,90.4538485267235,349.6239865248195,Market growth + Tsukumo share growth + week seasonality + day seasonality
18,3,4,0.0125,0.23,267.03000000000003,266.36290016277604,67.32452195568318,199.03837820709288,333.6874221184592,155.2774389358988,377.4483613896533,109.49676400603423,423.22903631951783,Market growth + Tsukumo share growth + week seasonality + day seasonality
19,3,5,0.0125,0.14,162.54000000000002,162.13393922951585,40.98014379911157,121.15379543040427,203.11408302862742,94.51670196098175,229.75117649804994,66.65020417758588,257.61767428144583,Market growth + Tsukumo share growth + week seasonality + day seasonality
20,3,6,0.0125,0.1,116.10000000000001,115.80995659251133,29.271531285079707,86.53842530743162,145.08148787759103,67.51192997212982,164.10798321289283,47.60728869827561,184.01262448674703,Market growth + Tsukumo share growth + week seasonality + day seasonality
21,3,7,0.0125,0.08,92.88,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
22,4,1,0.0125,0.11,127.71,127.39095225176244,32.19868441358771,95.19226783817473,159.58963666535016,74.26312296934272,180.51878153418215,52.36801756810307,202.41388693542183,Market growth + Tsukumo share growth + week seasonality + day seasonality
23,4,2,0.0125,0.15,174.15,173.71493488876695,43.90729692761966,129.8076379611473,217.6222318163866,101.2678949581945,246.16197481933938,71.41093304741314,276.01893673012074,Market growth + Tsukumo share growth + week seasonality + day seasonality
24,4,3,0.0125,0.19,220.59,220.0389175257715,55.615909441651496,164.42300808412,275.654826967423,128.27266694704653,311.8051681044965,90.4538485267235,349.6239865248195,Market growth + Tsukumo share growth + week seasonality + day seasonality
25,4,4,0.0125,0.23,267.03000000000003,266.36290016277604,67.32452195568318,199.03837820709288,333.6874221184592,155.2774389358988,377.4483613896533,109.49676400603423,423.22903631951783,Market growth + Tsukumo share growth + week seasonality + day seasonality
26,4,5,0.0125,0.14,162.54000000000002,162.13393922951585,40.98014379911157,121.15379543040427,203.11408302862742,94.51670196098175,229.75117649804994,66.65020417758588,257.61767428144583,Market growth + Tsukumo share growth + week seasonality + day seasonality
27,4,6,0.0125,0.1,116.10000000000001,115.80995659251133,29.271531285079707,86.53842530743162,145.08148787759103,67.51192997212982,164.10798321289283,47.60728869827561,184.01262448674703,Market growth + Tsukumo share growth + week seasonality + day seasonality
28,4,7,0.0125,0.08,92.88,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
29,5,1,0.01,0.11,102.168,101.91276180140994,25.75894753087016,76.15381427053978,127.6717093322801,59.410498375474184,144.4150252273457,41.89441405448247,161.93110954833742,Market growth + Tsukumo share growth + week seasonality + day seasonality
30,5,2,0.01,0.15,139.32,138.97194791101356,35.125837542095645,103.84611036891792,174.0977854531092,81.01431596655576,196.92957985547136,57.1287464379307,220.8151493840964,Market growth + Tsukumo share growth + week seasonality + day seasonality
31,5,3,0.01,0.19,176.472,176.03113402061717,44.492727553321174,131.538406467296,220.52386157393835,102.61813355763724,249.4441344835971,72.36307882137883,279.6991892198555,Market growth + Tsukumo share growth + week seasonality + day seasonality
32,5,4,0.01,0.23,213.62400000000002,213.0903201302208,53.859617564546646,159.23070256567414,266.9499376947674,124.22195114871883,301.9586891117227,87.5974112048271,338.5832290556145,Market growth + Tsukumo share growth + week seasonality + day seasonality
33,5,5,0.01,0.14,130.032,129.70715138361268,32.78411503928922,96.92303634432346,162.4912664229019,75.61336156878548,183.8009411984399,53.320163342068795,206.09413942515658,Market growth + Tsukumo share growth + week seasonality + day seasonality
34,5,6,0.01,0.1,92.88000000000001,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
35,5,7,0.01,0.08,74.304,74.11837221920723,18.733780022451025,55.3845921967562,92.85215224165826,43.207635182163045,105.02910925625142,30.46866476689634,117.76807967151812,Market growth + Tsukumo share growth + week seasonality + day seasonality
36,6,1,0.01,0.11,102.168,101.91276180140994,25.75894753087016,76.15381427053978,127.6717093322801,59.410498375474184,144.4150252273457,41.89441405448247,161.93110954833742,Market growth + Tsukumo share growth + week seasonality + day seasonality
37,6,2,0.01,0.15,139.32,138.97194791101356,35.125837542095645,103.84611036891792,174.0977854531092,81.01431596655576,196.92957985547136,57.1287464379307,220.8151493840964,Market growth + Tsukumo share growth + week seasonality + day seasonality
38,6,3,0.01,0.19,176.472,176.03113402061717,44.492727553321174,131.538406467296,220.52386157393835,102.61813355763724,249.4441344835971,72.36307882137883,279.6991892198555,Market growth + Tsukumo share growth + week seasonality + day seasonality
39,6,4,0.01,0.23,213.62400000000002,213.0903201302208,53.859617564546646,159.23070256567414,266.9499376947674,124.22195114871883,301.9586891117227,87.5974112048271,338.5832290556145,Market growth + Tsukumo share growth + week seasonality + day seasonality
40,6,5,0.01,0.14,130.032,129.70715138361268,32.78411503928922,96.92303634432346,162.4912664229019,75.61336156878548,183.8009411984399,53.320163342068795,206.09413942515658,Market growth + Tsukumo share growth + week seasonality + day seasonality
41,6,6,0.01,0.1,92.88000000000001,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
42,6,7,0.01,0.08,74.304,74.11837221920723,18.733780022451025,55.3845921967562,92.85215224165826,43.207635182163045,105.02910925625142,30.46866476689634,117.76807967151812,Market growth + Tsukumo share growth + week seasonality + day seasonality
43,7,1,0.0075,0.11,76.626,76.43457135105746,19.319210648152595,57.115360702904866,95.75378199921005,44.55787378160568,108.31126892050924,31.420810540861908,121.448332161253,Market growth + Tsukumo share growth + week seasonality + day seasonality
44,7,2,0.0075,0.15,104.49,104.22896093326015,26.34437815657174,77.88458277668842,130.5733390898319,60.76073697491679,147.6971848916035,42.846559828448,165.61136203807231,Market growth + Tsukumo share growth + week seasonality + day seasonality
45,7,3,0.0075,0.19,132.354,132.02335051546288,33.36954566499082,98.65380485047206,165.3928961804537,76.96360016822803,187.08310086269773,54.27230911603428,209.77439191489148,Market growth + Tsukumo share growth + week seasonality + day seasonality
46,7,4,0.0075,0.23,160.21800000000002,159.8177400976656,40.394713173409954,119.42302692425564,200.21245327107556,93.16646336153917,226.469016833792,65.6980584036204,253.9374217917108,Market growth + Tsukumo share growth + week seasonality + day seasonality
47,7,5,0.0075,0.14,97.52400000000002,97.2803635377095,24.588086279466918,72.69227725824258,121.86844981717643,56.710021176589095,137.85070589882991,39.990122506551586,154.57060456886742,Market growth + Tsukumo share growth + week seasonality + day seasonality
48,7,6,0.0075,0.1,69.66000000000001,69.48597395550678,17.562918771047848,51.92305518445893,87.04889272655463,40.507157983277835,98.46478992773572,28.564373218965294,110.40757469204826,Market growth + Tsukumo share growth + week seasonality + day seasonality
49,7,7,0.0075,0.08,55.728,55.588779164405416,14.050335016838275,41.53844414756714,69.63911418124368,32.40572638662226,78.77183194218857,22.851498575172236,88.32605975363859,Market growth + Tsukumo share growth + week seasonality + day seasonality
50,8,1,0.0075,0.11,76.626,76.43457135105746,19.319210648152595,57.115360702904866,95.75378199921005,44.55787378160568,108.31126892050924,31.420810540861908,121.448332161253,Market growth + Tsukumo share growth + week seasonality + day seasonality
51,8,2,0.0075,0.15,104.49,104.22896093326015,26.34437815657174,77.88458277668842,130.5733390898319,60.76073697491679,147.6971848916035,42.846559828448,165.61136203807231,Market growth + Tsukumo share growth + week seasonality + day seasonality
52,8,3,0.0075,0.19,132.354,132.02335051546288,33.36954566499082,98.65380485047206,165.3928961804537,76.96360016822803,187.08310086269773,54.27230911603428,209.77439191489148,Market growth + Tsukumo share growth + week seasonality + day seasonality
53,8,4,0.0075,0.23,160.21800000000002,159.8177400976656,40.394713173409954,119.42302692425564,200.21245327107556,93.16646336153917,226.469016833792,65.6980584036204,253.9374217917108,Market growth + Tsukumo share growth + week seasonality + day seasonality
54,8,5,0.0075,0.14,97.52400000000002,97.2803635377095,24.588086279466918,72.69227725824258,121.86844981717643,56.710021176589095,137.85070589882991,39.990122506551586,154.57060456886742,Market growth + Tsukumo share growth + week seasonality + day seasonality
55,8,6,0.0075,0.1,69.66000000000001,69.48597395550678,17.562918771047848,51.92305518445893,87.04889272655463,40.507157983277835,98.46478992773572,28.564373218965294,110.40757469204826,Market growth + Tsukumo share growth + week seasonality + day seasonality
56,8,7,0.0075,0.08,55.728,55.588779164405416,14.050335016838275,41.53844414756714,69.63911418124368,32.40572638662226,78.77183194218857,22.851498575172236,88.32605975363859,Market growth + Tsukumo share growth + week seasonality + day seasonality
57,9,1,0.01,0.11,102.168,101.91276180140994,25.75894753087016,76.15381427053978,127.6717093322801,59.410498375474184,144.4150252273457,41.89441405448247,161.93110954833742,Market growth + Tsukumo share growth + week seasonality + day seasonality
58,9,2,0.01,0.15,139.32,138.97194791101356,35.125837542095645,103.84611036891792,174.0977854531092,81.01431596655576,196.92957985547136,57.1287464379307,220.8151493840964,Market growth + Tsukumo share growth + week seasonality + day seasonality
59,9,3,0.01,0.19,176.472,176.03113402061717,44.492727553321174,131.538406467296,220.52386157393835,102.61813355763724,249.4441344835971,72.36307882137883,279.6991892198555,Market growth + Tsukumo share growth + week seasonality + day seasonality
60,9,4,0.01,0.23,213.62400000000002,213.0903201302208,53.859617564546646,159.23070256567414,266.9499376947674,124.22195114871883,301.9586891117227,87.5974112048271,338.5832290556145,Market growth + Tsukumo share growth + week seasonality + day seasonality
61,9,5,0.01,0.14,130.032,129.70715138361268,32.78411503928922,96.92303634432346,162.4912664229019,75.61336156878548,183.8009411984399,53.320163342068795,206.09413942515658,Market growth + Tsukumo share growth + week seasonality + day seasonality
62,9,6,0.01,0.1,92.88000000000001,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
63,9,7,0.01,0.08,74.304,74.11837221920723,18.733780022451025,55.3845921967562,92.85215224165826,43.207635182163045,105.02910925625142,30.46866476689634,117.76807967151812,Market growth + Tsukumo share growth + week seasonality + day seasonality
64,10,1,0.0125,0.11,127.71,127.39095225176244,32.19868441358771,95.19226783817473,159.58963666535016,74.26312296934272,180.51878153418215,52.36801756810307,202.41388693542183,Market growth + Tsukumo share growth + week seasonality + day seasonality
65,10,2,0.0125,0.15,174.15,173.71493488876695,43.90729692761966,129.8076379611473,217.6222318163866,101.2678949581945,246.16197481933938,71.41093304741314,276.01893673012074,Market growth + Tsukumo share growth + week seasonality + day seasonality
66,10,3,0.0125,0.19,220.59,220.0389175257715,55.615909441651496,164.42300808412,275.654826967423,128.27266694704653,311.8051681044965,90.4538485267235,349.6239865248195,Market growth + Tsukumo share growth + week seasonality + day seasonality
67,10,4,0.0125,0.23,267.03000000000003,266.36290016277604,67.32452195568318,199.03837820709288,333.6874221184592,155.2774389358988,377.4483613896533,109.49676400603423,423.22903631951783,Market growth + Tsukumo share growth + week seasonality + day seasonality
68,10,5,0.0125,0.14,162.54000000000002,162.13393922951585,40.98014379911157,121.15379543040427,203.11408302862742,94.51670196098175,229.75117649804994,66.65020417758588,257.61767428144583,Market growth + Tsukumo share growth + week seasonality + day seasonality
69,10,6,0.0125,0.1,116.10000000000001,115.80995659251133,29.271531285079707,86.53842530743162,145.08148787759103,67.51192997212982,164.10798321289283,47.60728869827561,184.01262448674703,Market growth + Tsukumo share growth + week seasonality + day seasonality
70,10,7,0.0125,0.08,92.88,92.64796527400904,23.417225028063825,69.23074024594521,116.06519030207286,54.00954397770373,131.28638657031433,38.08583095862033,147.21009958939774,Market growth + Tsukumo share growth + week seasonality + day seasonality
71,11,1,0.015,0.11,153.252,152.8691427021149,38.63842129630519,114.23072140580973,191.5075639984201,89.11574756321136,216.62253784101847,62.841621081723815,242.896664322506,Market growth + Tsukumo share growth + week seasonality + day seasonality
72,11,2,0.015,0.15,208.98,208.4579218665203,52.68875631314348,155.76916555337684,261.1466781796638,121.52147394983358,295.394369783207,85.693119656896,331.22272407614463,Market growth + Tsukumo share growth + week seasonality + day seasonality
73,11,3,0.015,0.19,264.708,264.04670103092576,66.73909132998163,197.3076097009441,330.7857923609074,153.92720033645605,374.16620172539547,108.54461823206856,419.54878382978296,Market growth + Tsukumo share growth + week seasonality + day seasonality
74,11,4,0.015,0.23,320.43600000000004,319.6354801953312,80.78942634681991,238.84605384851127,400.4249065421511,186.33292672307834,452.938033667584,131.3961168072408,507.8748435834216,Market growth + Tsukumo share growth + week seasonality + day seasonality
75,11,5,0.015,0.14,195.04800000000003,194.560727075419,49.176172558933835,145.38455451648517,243.73689963435285,113.42004235317819,275.70141179765983,79.98024501310317,309.14120913773485,Market growth + Tsukumo share growth + week seasonality + day seasonality
76,11,6,0.015,0.1,139.32000000000002,138.97194791101356,35.125837542095695,103.84611036891786,174.09778545310925,81.01431596655567,196.92957985547145,57.12874643793059,220.81514938409651,Market growth + Tsukumo share growth + week seasonality + day seasonality
77,11,7,0.015,0.08,111.456,111.17755832881083,28.10067003367655,83.07688829513428,139.27822836248737,64.81145277324453,157.54366388437714,45.70299715034447,176.65211950727718,Market growth + Tsukumo share growth + week seasonality + day seasonality
78,12,1,0.02,0.11,204.336,203.82552360281989,51.51789506174032,152.30762854107957,255.3434186645602,118.82099675094837,288.8300504546914,83.78882810896494,323.86221909667483,Market growth + Tsukumo share growth + week seasonality + day seasonality
79,12,2,0.02,0.15,278.64,277.9438958220271,70.25167508419129,207.69222073783584,348.1955709062184,162.0286319331115,393.8591597109427,114.2574928758614,441.6302987681928,Market growth + Tsukumo share growth + week seasonality + day seasonality
80,12,3,0.02,0.19,352.944,352.06226804123435,88.98545510664235,263.076812934592,441.0477231478767,205.23626711527447,498.8882689671942,144.72615764275767,559.398378439711,Market growth + Tsukumo share growth + week seasonality + day seasonality
81,12,4,0.02,0.23,427.24800000000005,426.1806402604416,107.71923512909329,318.4614051313483,533.8998753895348,248.44390229743766,603.9173782234454,175.1948224096542,677.166458111229,Market growth + Tsukumo share growth + week seasonality + day seasonality
82,12,5,0.02,0.14,260.064,259.41430276722537,65.56823007857844,193.84607268864693,324.9825328458038,151.22672313757096,367.6018823968798,106.64032668413759,412.18827885031317,Market growth + Tsukumo share growth + week seasonality + day seasonality
83,12,6,0.02,0.1,185.76000000000002,185.29593054801808,46.83445005612765,138.46148049189043,232.13038060414573,108.01908795540746,262.57277314062867,76.17166191724066,294.4201991787955,Market growth + Tsukumo share growth + week seasonality + day seasonality
84,12,7,0.02,0.08,148.608,148.23674443841446,37.46756004490205,110.7691843935124,185.70430448331652,86.41527036432609,210.05821851250283,60.93732953379268,235.53615934303625,Market growth + Tsukumo share growth + week seasonality + day seasonality
85,13,1,0.02,0.11,204.336,203.82552360281989,51.51789506174032,152.30762854107957,255.3434186645602,118.82099675094837,288.8300504546914,83.78882810896494,323.86221909667483,Market growth + Tsukumo share growth + week seasonality + day seasonality
86,13,2,0.02,0.15,278.64,277.9438958220271,70.25167508419129,207.69222073783584,348.1955709062184,162.0286319331115,393.8591597109427,114.2574928758614,441.6302987681928,Market growth + Tsukumo share growth + week seasonality + day seasonality
87,13,3,0.02,0.19,352.944,352.06226804123435,88.98545510664235,263.076812934592,441.0477231478767,205.23626711527447,498.8882689671942,144.72615764275767,559.398378439711,Market growth + Tsukumo share growth + week seasonality + day seasonality
88,13,4,0.02,0.23,427.24800000000005,426.1806402604416,107.71923512909329,318.4614051313483,533.8998753895348,248.44390229743766,603.9173782234454,175.1948224096542,677.166458111229,Market growth + Tsukumo share growth + week seasonality + day seasonality
89,13,5,0.02,0.14,260.064,259.41430276722537,65.56823007857844,193.84607268864693,324.9825328458038,151.22672313757096,367.6018823968798,106.64032668413759,412.18827885031317,Market growth + Tsukumo share growth + week seasonality + day seasonality
90,13,6,0.02,0.1,185.76000000000002,185.29593054801808,46.83445005612765,138.46148049189043,232.13038060414573,108.01908795540746,262.57277314062867,76.17166191724066,294.4201991787955,Market growth + Tsukumo share growth + week seasonality + day seasonality
91,13,7,0.02,0.08,148.608,148.23674443841446,37.46756004490205,110.7691843935124,185.70430448331652,86.41527036432609,210.05821851250283,60.93732953379268,235.53615934303625,Market growth + Tsukumo share growth + week seasonality + day seasonality
92,14,1,0.0225,0.11,229.87799999999996,229.30371405317234,57.95763194445786,171.34608210871448,287.2613459976302,133.67362134481687,324.9338067615278,94.26243162258552,364.34499648375913,Market growth + Tsukumo share growth + week seasonality + day seasonality
93,14,2,0.0225,0.15,313.46999999999997,312.6868827997805,79.03313446971518,233.65374833006533,391.72001726949566,182.28221092475047,443.09155467481054,128.53967948534412,496.8340861142169,Market growth + Tsukumo share growth + week seasonality + day seasonality
94,14,3,0.0225,0.19,397.06199999999995,396.07005154638864,100.10863699497247,295.96141455141617,496.1786885413611,230.89080050468408,561.2493025880932,162.81692734810278,629.3231757446745,Market growth + Tsukumo share growth + week seasonality + day seasonality
95,14,4,0.0225,0.23,480.65399999999994,479.4532202929968,121.1841395202299,358.26908077276687,600.6373598132267,279.4993900846174,679.4070505013761,197.09417521086107,761.8122653751325,Market growth + Tsukumo share growth + week seasonality + day seasonality
96,14,5,0.0225,0.14,292.572,291.8410906131285,73.76425883840083,218.07683177472762,365.6053494515293,170.13006352976709,413.55211769648986,119.97036751965453,463.7118137066024,Market growth + Tsukumo share growth + week seasonality + day seasonality
97,14,6,0.0225,0.1,208.98,208.4579218665203,52.68875631314354,155.76916555337675,261.14667817966387,121.52147394983346,295.39436978320714,85.69311965689585,331.2227240761448,Market growth + Tsukumo share growth + week seasonality + day seasonality
98,14,7,0.0225,0.08,167.18399999999997,166.76633749321627,42.151005050514726,124.61533244270154,208.917342543731,97.21717915986697,236.31549582656555,68.55449572551696,264.97817926091557,Market growth + Tsukumo share growth + week seasonality + day seasonality
99,15,1,0.02,0.11,204.336,203.82552360281989,51.51789506174032,152.30762854107957,255.3434186645602,118.82099675094837,288.8300504546914,83.78882810896494,323.86221909667483,Market growth + Tsukumo share growth + week seasonality + day seasonality
100,15,2,0.02,0.15,278.64,277.9438958220271,70.25167508419129,207.69222073783584,348.1955709062184,162.0286319331115,393.8591597109427,114.2574928758614,441.6302987681928,Market growth + Tsukumo share growth + week seasonality + day seasonality
101,15,3,0.02,0.19,352.944,352.06226804123435,88.98545510664235,263.076812934592,441.0477231478767,205.23626711527447,498.8882689671942,144.72615764275767,559.398378439711,Market growth + Tsukumo share growth + week seasonality + day seasonality
102,15,4,0.02,0.23,427.24800000000005,426.1806402604416,107.71923512909329,318.4614051313483,533.8998753895348,248.44390229743766,603.9173782234454,175.1948224096542,677.166458111229,Market growth + Tsukumo share growth + week seasonality + day seasonality
103,15,5,0.02,0.14,260.064,259.41430276722537,65.56823007857844,193.84607268864693,324.9825328458038,151.22672313757096,367.6018823968798,106.64032668413759,412.18827885031317,Market growth + Tsukumo share growth + week seasonality + day seasonality
104,15,6,0.02,0.1,185.76000000000002,185.29593054801808,46.83445005612765,138.46148049189043,232.13038060414573,108.01908795540746,262.57277314062867,76.17166191724066,294.4201991787955,Market growth + Tsukumo share growth + week seasonality + day seasonality
105,15,7,0.02,0.08,148.608,148.23674443841446,37.46756004490205,110.7691843935124,185.70430448331652,86.41527036432609,210.05821851250283,60.93732953379268,235.53615934303625,Market growth + Tsukumo share growth + week seasonality + day seasonality
106,16,1,0.0225,0.11,229.87799999999996,229.30371405317234,57.95763194445786,171.34608210871448,287.2613459976302,133.67362134481687,324.9338067615278,94.26243162258552,364.34499648375913,Market growth + Tsukumo share growth + week seasonality + day seasonality
107,16,2,0.0225,0.15,313.46999999999997,312.6868827997805,79.03313446971518,233.65374833006533,391.72001726949566,182.28221092475047,443.09155467481054,128.53967948534412,496.8340861142169,Market growth + Tsukumo share growth + week seasonality + day seasonality
108,16,3,0.0225,0.19,397.06199999999995,396.07005154638864,100.10863699497247,295.96141455141617,496.1786885413611,230.89080050468408,561.2493025880932,162.81692734810278,629.3231757446745,Market growth + Tsukumo share growth + week seasonality + day seasonality
109,16,4,0.0225,0.23,480.65399999999994,479.4532202929968,121.1841395202299,358.26908077276687,600.6373598132267,279.4993900846174,679.4070505013761,197.09417521086107,761.8122653751325,Market growth + Tsukumo share growth + week seasonality + day seasonality
110,16,5,0.0225,0.14,292.572,291.8410906131285,73.76425883840083,218.07683177472762,365.6053494515293,170.13006352976709,413.55211769648986,119.97036751965453,463.7118137066024,Market growth + Tsukumo share growth + week seasonality + day seasonality
111,16,6,0.0225,0.1,208.98,208.4579218665203,52.68875631314354,155.76916555337675,261.14667817966387,121.52147394983346,295.39436978320714,85.69311965689585,331.2227240761448,Market growth + Tsukumo share growth + week seasonality + day seasonality
112,16,7,0.0225,0.08,167.18399999999997,166.76633749321627,42.151005050514726,124.61533244270154,208.917342543731,97.21717915986697,236.31549582656555,68.55449572551696,264.97817926091557,Market growth + Tsukumo share growth + week seasonality + day seasonality
113,17,1,0.02,0.11,204.336,203.82552360281989,51.51789506174032,152.30762854107957,255.3434186645602,118.82099675094837,288.8300504546914,83.78882810896494,323.86221909667483,Market growth + Tsukumo share growth + week seasonality + day seasonality
114,17,2,0.02,0.15,278.64,277.9438958220271,70.25167508419129,207.69222073783584,348.1955709062184,162.0286319331115,393.8591597109427,114.2574928758614,441.6302987681928,Market growth + Tsukumo share growth + week seasonality + day seasonality
115,17,3,0.02,0.19,352.944,352.06226804123435,88.98545510664235,263.076812934592,441.0477231478767,205.23626711527447,498.8882689671942,144.72615764275767,559.398378439711,Market growth + Tsukumo share growth + week seasonality + day seasonality
116,17,4,0.02,0.23,427.24800000000005,426.1806402604416,107.71923512909329,318.4614051313483,533.8998753895348,248.44390229743766,603.9173782234454,175.1948224096542,677.166458111229,Market growth + Tsukumo share growth + week seasonality + day seasonality
117,17,5,0.02,0.14,260.064,259.41430276722537,65.56823007857844,193.84607268864693,324.9825328458038,151.22672313757096,367.6018823968798,106.64032668413759,412.18827885031317,Market growth + Tsukumo share growth + week seasonality + day seasonality
118,17,6,0.02,0.1,185.76000000000002,185.29593054801808,46.83445005612765,138.46148049189043,232.13038060414573,108.01908795540746,262.57277314062867,76.17166191724066,294.4201991787955,Market growth + Tsukumo share growth + week seasonality + day seasonality
119,17,7,0.02,0.08,148.608,148.23674443841446,37.46756004490205,110.7691843935124,185.70430448331652,86.41527036432609,210.05821851250283,60.93732953379268,235.53615934303625,Market growth + Tsukumo share growth + week seasonality + day seasonality
120,18,1,0.0175,0.11,178.794,178.34733315246743,45.07815817902266,133.26917497344476,223.4254913314901,103.96837215708004,252.72629414785482,73.31522459534463,283.3794417095902,Market growth + Tsukumo share growth + week seasonality + day seasonality
121,18,2,0.0175,0.15,243.81,243.20090884427375,61.47021569866729,181.73069314560647,304.671124542941,141.77505294147272,344.6267647470748,99.97530626637896,386.4265114221686,Market growth + Tsukumo share growth + week seasonality + day seasonality
122,18,3,0.0175,0.19,308.826,308.05448453608005,77.86227321831207,230.192211317768,385.9167577543921,179.58173372586515,436.52723534629496,126.63538793741293,489.4735811347472,Market growth + Tsukumo share growth + week seasonality + day seasonality
123,18,4,0.0175,0.23,373.84200000000004,372.90806022788644,94.25433073795648,278.65372948992996,467.1623909658429,217.38841451025826,528.4277059455146,153.29546960844783,592.520650847325,Market growth + Tsukumo share growth + week seasonality + day seasonality
124,18,5,0.0175,0.14,227.55600000000004,226.98751492132217,57.37220131875625,169.61531360256592,284.3597162400784,132.32338274537437,321.65164709727,93.31028584862011,360.6647439940242,Market growth + Tsukumo share growth + week seasonality + day seasonality
