State,Expected_Demand_Share,Mode,Mean,Sigma,Robust_68_Min,Robust_68_Max,Robust_95_Min,Robust_95_Max,Robust_99_Min,Robust_99_Max,Variability_Included,Mode_Revenue,Mode_Weight_lb,Mean_Revenue,Mean_Weight_lb,Sigma_Revenue,Sigma_Weight_lb,Robust_68_Min_Revenue,Robust_68_Min_Weight_lb,Robust_68_Max_Revenue,Robust_68_Max_Weight_lb,Robust_95_Min_Revenue,Robust_95_Min_Weight_lb,Robust_95_Max_Revenue,Robust_95_Max_Weight_lb,Robust_99_Min_Revenue,Robust_99_Min_Weight_lb,Robust_99_Max_Revenue,Robust_99_Max_Weight_lb
AZ,0.031248513529940427,2902.361936660867,2895.1111963863223,218.22653847118835,2676.884657915134,3113.3377348575104,2535.0374079088615,3255.184984863783,2386.6433617484536,3403.579031024191,Market growth + Tsukumo share growth + ZIP3 PMF,8707085.8099826,174141.716199652,8685333.589158967,173706.67178317934,654679.6154135651,13093.592308271302,8030653.973745402,160613.07947490804,9340013.20457253,186800.26409145063,7605112.223726585,152102.24447453168,9765554.954591349,195311.099091827,7159930.085245361,143198.60170490723,10210737.093072573,204214.74186145145
NC,0.02982055027190479,2769.732709254517,2762.813306043276,123.80741162139707,2639.005894421879,2886.620717664673,2558.531076867971,2967.095535218581,2474.342036965421,3051.284575121131,Market growth + Tsukumo share growth + ZIP3 PMF,8309198.127763551,166183.96255527102,8288439.918129828,165768.79836259657,371422.2348641912,7428.444697283824,7917017.683265637,158340.35366531275,8659862.15299402,173197.2430598804,7675593.230603913,153511.86461207827,8901286.605655743,178025.73211311485,7423026.110896262,148460.52221792526,9153853.725363394,183077.07450726788
GA,0.028035122698943093,2603.9021962778347,2597.3970742642623,149.8387033019147,2447.5583709623475,2747.235777566177,2350.163213816103,2844.6309347124215,2248.272895570801,2946.5212529577234,Market growth + Tsukumo share growth + ZIP3 PMF,7811706.588833504,156234.13177667008,7792191.222792787,155843.82445585573,449516.1099057441,8990.322198114882,7342675.112887043,146853.50225774085,8241707.332698531,164834.14665397062,7050489.641448309,141009.7928289662,8533892.804137265,170677.8560827453,6744818.686712404,134896.37373424807,8839563.75887317,176791.2751774634
MA,0.026610186443574258,2471.554116879177,2465.3796295591737,125.92802017044512,2339.4516093887287,2591.307649729619,2257.598396277939,2673.1608628404083,2171.9673425620367,2758.7919165563108,Market growth + Tsukumo share growth + ZIP3 PMF,7414662.350637531,148293.24701275062,7396138.888677522,147922.77777355042,377784.0605113354,7555.681210226708,7018354.828166186,140367.09656332372,7773922.949188856,155478.45898377712,6772795.188833818,135455.90377667634,8019482.588521224,160389.6517704245,6515902.02768611,130318.04055372221,8276375.7496689325,165527.51499337866
VA,0.025838135763397607,2399.8460497043698,2393.8507049523923,101.1436853486375,2292.707019603755,2494.99439030103,2226.9636241271405,2560.737785777644,2158.185918090067,2629.5154918147177,Market growth + Tsukumo share growth + ZIP3 PMF,7199538.149113109,143990.76298226218,7181552.114857177,143631.04229714355,303431.0560459125,6068.62112091825,6878121.058811264,137562.4211762253,7484983.170903089,149699.6634180618,6680890.872381422,133617.81744762842,7682213.357332933,153644.26714665865,6474557.754270201,129491.15508540401,7888546.475444153,157770.92950888307
WA,0.020842302362068382,1935.8330433889114,1930.996905471308,105.07065211294272,1825.9262533583653,2036.0675575842508,1757.6303294849527,2104.3634814576635,1686.1822860481516,2175.8115248944646,Market growth + Tsukumo share growth + ZIP3 PMF,5807499.130166735,116149.98260333468,5792990.7164139245,115859.81432827849,315211.9563388282,6304.239126776563,5477778.760075096,109555.57520150192,6108202.672752753,122164.05345505505,5272890.988454858,105457.81976909716,6313090.44437299,126261.8088874598,5058546.858144455,101170.9371628891,6527434.574683393,130548.69149366788
IN,0.01935632105291885,1797.8150993951026,1793.3237607433955,85.23508719625096,1708.0886735471445,1878.5588479396465,1652.6858668695813,1933.9616546172097,1594.7260075761308,1991.9215139106602,Market growth + Tsukumo share growth + ZIP3 PMF,5393445.2981853075,107868.90596370616,5379971.282230186,107599.42564460373,255705.26158875288,5114.105231775057,5124266.020641433,102485.32041282867,5635676.5438189395,112713.53087637879,4958057.600608744,99161.15201217488,5801884.963851629,116037.69927703257,4784178.022728392,95683.56045456785,5975764.541731981,119515.29083463961
MO,0.01911899484383446,1775.7722410953447,1771.335970365533,86.18699754454947,1685.1489728209835,1857.5229679100826,1629.1274244170265,1913.5445163140396,1570.5202660867328,1972.1516746443333,Market growth + Tsukumo share growth + ZIP3 PMF,5327316.723286035,106546.33446572069,5314007.911096599,106280.15822193198,258560.99263364842,5171.219852672968,5055446.918462951,101108.938369259,5572568.903730248,111451.37807460496,4887382.27325108,97747.64546502159,5740633.548942119,114812.67097884238,4711560.798260199,94231.21596520397,5916455.023933,118329.10047866
MD,0.018968794711508145,1761.8216528048765,1757.420233721613,99.94465907511301,1657.4755746464998,1857.364892796726,1592.5115462476765,1922.3289211955494,1524.5491780765997,1990.2912893666262,Market growth + Tsukumo share growth + ZIP3 PMF,5285464.958414629,105709.2991682926,5272260.701164839,105445.21402329678,299833.97722533904,5996.67954450678,4972426.7239395,99448.53447878998,5572094.678390178,111441.89356780356,4777534.63874303,95550.6927748606,5766986.763586648,115339.73527173296,4573647.534229799,91472.95068459598,5970873.868099879,119417.47736199757
TN,0.018790552554476807,1745.2665212598058,1740.906460546609,94.6951839815294,1646.2112765650795,1835.6016445281384,1584.6594069770854,1897.1535141161326,1520.2666818696455,1961.5462392235725,Market growth + Tsukumo share growth + ZIP3 PMF,5235799.563779417,104715.99127558834,5222719.381639827,104454.38763279654,284085.5519445882,5681.711038891764,4938633.829695239,98772.67659390478,5506804.933584415,110136.0986716883,4753978.220931256,95079.56441862512,5691460.542348398,113829.21084696795,4560800.045608937,91216.00091217873,5884638.717670717,117692.77435341435
NV,0.014005045338444945,1300.7886110347665,1297.5389541771694,113.47617074823918,1184.0627834289303,1411.0151249254086,1110.3032724425748,1484.774635911764,1033.139476333772,1561.9384320205668,Market growth + Tsukumo share growth + ZIP3 PMF,3902365.8331042994,78047.31666208598,3892616.8625315083,77852.33725063017,340428.51224471757,6808.570244894351,3552188.3502867906,71043.76700573582,4233045.374776226,84660.90749552452,3330909.8173277243,66618.19634655448,4454323.907735292,89086.47815470585,3099418.4290013164,61988.36858002633,4685815.2960617,93716.305921234
WI,0.01325896868115141,1231.493011105343,1228.4164699404894,58.70039581829746,1169.716074122192,1287.1168657587868,1131.5608168402987,1325.27212304068,1091.6445476838562,1365.1883921971225,Market growth + Tsukumo share growth + ZIP3 PMF,3694479.033316029,73889.58066632057,3685249.409821468,73704.98819642936,176101.18745489238,3522.0237490978475,3509148.2223665756,70182.96444733151,3861350.5972763607,77227.0119455272,3394682.450520896,67893.64901041792,3975816.36912204,79516.32738244081,3274933.6430515684,65498.67286103137,4095565.1765913675,81911.30353182735
SC,0.013111831551523598,1217.826914505512,1214.7845142642145,77.43368658049972,1137.350827683715,1292.2182008447141,1087.01893140639,1342.550097122039,1034.36402453165,1395.205003996779,Market growth + Tsukumo share growth + ZIP3 PMF,3653480.743516536,73069.61487033071,3644353.5427926434,72887.07085585287,232301.05974149916,4646.021194829984,3412052.4830511445,68241.04966102289,3876654.6025341423,77533.09205068286,3261056.79421917,65221.1358843834,4027650.291366117,80553.00582732234,3103092.07359495,62061.84147189901,4185615.0119903367,83712.30023980673
KY,0.012935627396287737,1201.461072567205,1198.4595578087863,61.45780831819667,1137.0017494905896,1259.9173661269829,1097.0541740837618,1299.8649415338107,1055.262864427388,1341.6562511901845,Market growth + Tsukumo share growth + ZIP3 PMF,3604383.2177016153,72087.6643540323,3595378.673426359,71907.57346852717,184373.42495459,3687.4684990918004,3411005.248471769,68220.10496943537,3779752.0983809484,75595.04196761898,3291162.5222512856,65823.25044502571,3899594.824601432,77991.89649202864,3165788.593282164,63315.77186564328,4024968.753570554,80499.37507141108
CT,0.012398860923396475,1151.6062025650647,1148.7292362681042,66.48513785107852,1082.2440984170257,1215.2143741191826,1039.0287588138247,1258.4297137223837,993.8188650750913,1303.639607461117,Market growth + Tsukumo share growth + ZIP3 PMF,3454818.607695194,69096.37215390388,3446187.7088043126,68923.75417608625,199455.41355323556,3989.108271064711,3246732.295251077,64934.64590502154,3645643.1223575477,72912.86244715095,3117086.276441474,62341.72552882948,3775289.141167151,75505.78282334302,2981456.5952252736,59629.13190450548,3910918.822383351,78218.37644766702
MN,0.012279675818394398,1140.5362900124717,1137.6869787986927,68.11402997672998,1069.5729488219627,1205.8010087754228,1025.2988293370884,1250.075128260297,978.9812889529119,1296.3926686444736,Market growth + Tsukumo share growth + ZIP3 PMF,3421608.870037415,68432.1774007483,3413060.936396078,68261.21872792156,204342.08993018995,4086.841798603799,3208718.846465888,64174.37692931776,3617403.0263262684,72348.06052652537,3075896.488011265,61517.9297602253,3750225.3847808912,75004.50769561782,2936943.8668587357,58738.877337174716,3889178.0059334207,77783.56011866842
OR,0.011594766214989036,1076.9218860481817,1074.2314976465575,71.92794998164055,1002.303547664917,1146.159447628198,955.5503801768506,1192.9126151162643,906.6393741893351,1241.82362110378,Market growth + Tsukumo share growth + ZIP3 PMF,3230765.6581445453,64615.3131628909,3222694.4929396724,64453.88985879345,215783.84994492165,4315.676998898433,3006910.642994751,60138.21285989502,3438478.342884594,68769.56685769188,2866651.140530552,57333.02281061104,3578737.845348793,71574.75690697586,2719918.122568005,54398.3624513601,3725470.8633113396,74509.4172662268
LA,0.011000960691846369,1021.7692290586907,1019.2166241589208,51.81905454102319,967.3975696178976,1071.035678699944,933.7151841662326,1104.718064151609,898.4782270783368,1139.9550212395047,Market growth + Tsukumo share growth + ZIP3 PMF,3065307.687176072,61306.15374352144,3057649.8724767626,61152.99744953525,155457.1636230696,3109.1432724613915,2902192.7088536927,58043.85417707386,3213107.0360998316,64262.140721996635,2801145.552498698,56022.911049973955,3314154.192454827,66283.08384909654,2695434.6812350103,53908.69362470021,3419865.063718514,68397.30127437029
UT,0.010941899639813582,1016.2836385458855,1013.7447378611407,88.28008366673052,925.4646541944102,1102.0248215278712,868.0825998110354,1159.406875911246,808.0521429176586,1219.4373328046229,Market growth + Tsukumo share growth + ZIP3 PMF,3048850.9156376566,60977.018312753135,3041234.2135834224,60824.68427166844,264840.25100019155,5296.8050200038315,2776393.9625832303,55527.87925166461,3306074.4645836134,66121.48929167227,2604247.799433106,52084.95598866212,3478220.627733738,69564.41255467477,2424156.4287529755,48483.12857505951,3658311.9984138687,73166.23996827737
OK,0.009988580799939686,927.739384698398,925.4216870894454,57.23975674825709,868.1819303411883,982.6614438377026,830.9760884548213,1019.8672857240696,792.0530538660064,1058.7903203128844,Market growth + Tsukumo share growth + ZIP3 PMF,2783218.154095194,55664.36308190388,2776265.061268336,55525.301225366726,171719.2702447713,3434.3854048954254,2604545.791023565,52090.915820471295,2947984.3315131078,58959.68663026216,2492928.265364464,49858.565307289275,3059601.857172209,61192.03714344418,2376159.1615980193,47523.183231960385,3176370.9609386534,63527.419218773066
AL,0.008742784702393322,812.0298431582918,810.001213505474,38.00027168135455,772.0009418241194,848.0014851868285,747.300765231239,872.701661779709,721.4605804879179,898.54184652303,Market growth + Tsukumo share growth + ZIP3 PMF,2436089.5294748754,48721.790589497505,2430003.6405164218,48600.072810328435,114000.81504406364,2280.016300881273,2316002.825472358,46320.05650944717,2544004.4555604854,50880.08911120971,2241902.295693717,44838.04591387434,2618104.985339127,52362.09970678254,2164381.741463754,43287.63482927508,2695625.53956909,53912.5107913818
IA,0.007998833046971915,742.9316134027514,741.0756063684498,30.90655917203069,710.1690471964191,771.9821655404805,690.0797837345992,792.0714290023004,669.0633234976183,813.0878892392814,Market growth + Tsukumo share growth + ZIP3 PMF,2228794.8402082543,44575.89680416508,2223226.8191053495,44464.53638210699,92719.67751609207,1854.3935503218413,2130507.1415892574,42610.142831785146,2315946.4966214416,46318.92993242883,2070239.3512037976,41404.78702407595,2376214.287006901,47524.285740138024,2007189.970492855,40143.7994098571,2439263.6677178442,48785.27335435688
NM,0.00692737910302099,643.4149710885896,641.8075785765845,53.181522160959446,588.626056415625,694.989100737544,554.0580670110014,729.5570901421677,517.894631941549,765.72052521162,Market growth + Tsukumo share growth + ZIP3 PMF,1930244.9132657687,38604.89826531537,1925422.7357297537,38508.45471459507,159544.56648287835,3190.8913296575665,1765878.1692468752,35317.5633849375,2084967.3022126323,41699.34604425264,1662174.2010330043,33243.484020660086,2188671.270426503,43773.42540853006,1553683.895824647,31073.677916492943,2297161.57563486,45943.2315126972
AR,0.006689094893092601,621.2831336704407,619.7310313697946,35.72782026640871,584.0032111033859,655.4588516362032,560.7801279302201,678.681934809369,536.4852101490623,702.9768525905268,Market growth + Tsukumo share growth + ZIP3 PMF,1863849.4010113222,37276.98802022645,1859193.0941093836,37183.86188218767,107183.46079922614,2143.669215984523,1752009.6333101576,35040.192666203155,1966376.5549086097,39327.53109817219,1682340.3837906604,33646.80767581321,2036045.8044281069,40720.91608856214,1609455.6304471868,32189.112608943735,2108930.5577715808,42178.61115543161
ID,0.006542897764292931,607.7043443475275,606.1861648576029,47.77430947389687,558.411855383706,653.9604743314998,527.3585542256731,685.0137754895327,494.8720237834232,717.5003059317826,Market growth + Tsukumo share growth + ZIP3 PMF,1823113.0330425825,36462.26066085165,1818558.4945728087,36371.16989145617,143322.92842169062,2866.458568433812,1675235.566151118,33504.71132302236,1961881.4229944993,39237.62845988999,1582075.6626770191,31641.513253540383,2055041.326468598,41100.82652937196,1484616.0713502695,29692.32142700539,2152500.9177953475,43050.018355906956
KS,0.005944139236786668,552.0916523127457,550.7124055936857,29.96746401244593,520.7449415812398,580.6798696061317,501.26608997315,600.1587212142215,480.8882144446867,620.5365967426848,Market growth + Tsukumo share growth + ZIP3 PMF,1656274.9569382372,33125.499138764746,1652137.2167810572,33042.744335621144,89902.39203733779,1798.0478407467558,1562234.8247437193,31244.696494874388,1742039.608818395,34840.7921763679,1503798.26991945,30075.965398389,1800476.1636426644,36009.52327285329,1442664.64333406,28853.2928666812,1861609.7902280544,37232.19580456109
WV,0.005351213714419284,497.0207297952631,495.77906238731873,22.107667041219408,473.6713953460993,517.8867294285382,459.3014117693067,532.2567130053308,444.2681981812775,547.28992659336,Market growth + Tsukumo share growth + ZIP3 PMF,1491062.1893857892,29821.243787715786,1487337.1871619562,29746.743743239123,66323.00112365822,1326.4600224731644,1421014.1860382978,28420.283720765958,1553660.1882856146,31073.20376571229,1377904.23530792,27558.084706158403,1596770.1390159924,31935.402780319848,1332804.5945438326,26656.09189087665,1641869.7797800798,32837.3955956016
NH,0.005083912478926894,472.1937910427299,471.0141468037201,34.68919955860056,436.3249472451196,505.70334636232064,413.7769675320292,528.251326075411,390.1883118321808,551.8399817752594,Market growth + Tsukumo share growth + ZIP3 PMF,1416581.3731281897,28331.627462563796,1413042.4404111602,28260.848808223207,104067.5986758017,2081.351973516034,1308974.8417353588,26179.496834707174,1517110.039086962,30342.200781739237,1241330.9025960874,24826.618051921752,1584753.978226233,31695.07956452466,1170564.9354965424,23411.298709930845,1655519.945325778,33110.39890651556
RI,0.004430023902851059,411.46062009680634,410.43270071437485,45.712230944235365,364.72046977013946,456.14493165861023,335.0075196563865,485.8578817723632,303.92320261430643,516.9421988144433,Market growth + Tsukumo share growth + ZIP3 PMF,1234381.860290419,24687.63720580838,1231298.1021431244,24625.96204286249,137136.6928327061,2742.733856654122,1094161.4093104184,21883.22818620837,1368434.7949758307,27368.695899516613,1005022.5589691594,20100.451179383188,1457573.6453170897,29151.472906341794,911769.6078429193,18235.392156858386,1550826.5964433297,31016.531928866596
MS,0.00428084077142072,397.6044908495565,396.6111871341489,23.907373743093757,372.7038133910552,420.51856087724263,357.1640204580442,436.0583538102536,340.90700631274046,452.31536795555735,Market growth + Tsukumo share growth + ZIP3 PMF,1192813.4725486694,23856.26945097339,1189833.5614024468,23796.671228048934,71722.12122928127,1434.4424245856253,1118111.4401731656,22362.22880346331,1261555.682631728,25231.113652634558,1071492.0613741325,21429.84122748265,1308175.061430761,26163.501228615216,1022721.0189382214,20454.42037876443,1356946.1038666721,27138.922077333442
DE,0.004102578614371759,381.047501702849,380.09556099820685,34.752531684686666,345.34302931352016,414.84809268289354,322.75388371847384,437.43723827793985,299.12216217288693,461.06895982352677,Market growth + Tsukumo share growth + ZIP3 PMF,1143142.505108547,22862.850102170938,1140286.6829946206,22805.733659892412,104257.59505406,2085.1519010812,1036029.0879405605,20720.58175881121,1244544.2780486806,24890.885560973613,968261.6511554215,19365.23302310843,1312311.7148338195,26246.23429667639,897366.4865186608,17947.329730373214,1383206.8794705803,27664.137589411606
NE,0.00395525348457832,367.36394364763436,366.4461874891154,28.784785557282735,337.66140193183264,395.23097304639816,318.9512913195989,413.9410836586319,299.37763714064664,433.51473783758416,Market growth + Tsukumo share growth + ZIP3 PMF,1102091.8309429032,22041.836618858062,1099338.5624673462,21986.771249346923,86354.3566718482,1727.087133436964,1012984.205795498,20259.684115909957,1185692.9191391945,23713.85838278389,956853.8739587967,19137.077479175936,1241823.2509758957,24836.465019517913,898132.91142194,17962.6582284388,1300544.2135127524,26010.88427025505
ME,0.0037751313258906983,350.6341975487281,349.75823598594513,23.010601735152356,326.74763425079277,372.7688377210975,311.79074312294375,387.7257288489465,296.14353394304015,403.3729380288501,Market growth + Tsukumo share growth + ZIP3 PMF,1051902.5926461841,21038.051852923683,1049274.7079578354,20985.494159156708,69031.80520545707,1380.6361041091413,980242.9027523783,19604.858055047567,1118306.5131632925,22366.130263265848,935372.2293688313,18707.444587376624,1163177.1865468395,23263.54373093679,888430.6018291204,17768.61203658241,1210118.8140865504,24202.376281731005
DC,0.0027948004622192074,259.58106693092,258.9325761714695,39.24035219178733,219.69222397968218,298.17292836325686,194.18599505502044,323.6791572879186,167.50255556460502,350.362596778334,Market growth + Tsukumo share growth + ZIP3 PMF,778743.2007927599,15574.864015855199,776797.7285144086,15535.954570288171,117721.05657536199,2354.42113150724,659076.6719390466,13181.53343878093,894518.7850897706,17890.375701795412,582557.9851650613,11651.159703301226,971037.4718637558,19420.749437275117,502507.66669381503,10050.1533338763,1051087.7903350021,21021.755806700043
ND,0.0027066583845660372,251.39443075849354,250.76639202187962,16.284921914036094,234.48147010784353,267.05131393591574,223.89627086372008,277.6365131800392,212.82252396217552,288.7102600815837,Market growth + Tsukumo share growth + ZIP3 PMF,754183.2922754806,15083.665845509613,752299.1760656389,15045.983521312777,48854.765742108284,977.0953148421656,703444.4103235306,14068.888206470612,801153.9418077472,16023.078836154944,671688.8125911602,13433.776251823205,832909.5395401175,16658.19079080235,638467.5718865265,12769.351437730531,866130.7802447511,17322.615604895025
MT,0.0025873952794952413,240.31727355951801,239.71690800481002,16.327180335755994,223.38972766905403,256.044088340566,212.77706045081263,266.6567555588074,201.67457782249855,277.75923818712147,Market growth + Tsukumo share growth + ZIP3 PMF,720951.820678554,14419.03641357108,719150.7240144301,14383.0144802886,48981.54100726798,979.6308201453596,670169.1830071621,13403.383660143241,768132.2650216981,15362.645300433962,638331.1813524378,12766.623627048757,799970.2666764222,15999.405333528444,605023.7334674957,12100.474669349913,833277.7145613644,16665.554291227287
SD,0.002349172069620593,218.1911018263607,217.64601232888066,17.331258154056258,200.3147541748244,234.97727048293692,189.04943637468784,246.24258828307347,177.2641808299296,258.02784382783176,Market growth + Tsukumo share growth + ZIP3 PMF,654573.305479082,13091.466109581641,652938.0369866419,13058.76073973284,51993.774462168774,1039.8754892433753,600944.2625244732,12018.885250489464,704931.8114488107,14098.636228976215,567148.3091240636,11342.96618248127,738727.7648492204,14774.555296984408,531792.5424897887,10635.850849795776,774083.5314834953,15481.670629669905
VT,0.0017253035199924012,160.24619093689424,159.84586060738155,11.871021373081913,147.97483923429965,171.71688198046346,140.2586753417964,179.43304587296672,132.1863808081007,187.5053404066624,Market growth + Tsukumo share growth + ZIP3 PMF,480738.5728106827,9614.771456213653,479537.5818221447,9590.751636442894,35613.06411924574,712.2612823849148,443924.51770289894,8878.49035405798,515150.64594139036,10303.012918827808,420776.02602538915,8415.520520507784,538299.1376189002,10765.982752378002,396559.14242430206,7931.182848486042,562516.0212199872,11250.320424399744
WY,0.0010112508909120347,93.92498274790978,93.69033742452889,6.232602997246822,87.45773442728208,99.9229404217757,83.40654247907163,103.97413236998615,79.1683724409438,108.21230240811398,Market growth + Tsukumo share growth + ZIP3 PMF,281774.94824372936,5635.498964874587,281071.01227358665,5621.420245471733,18697.808991740465,373.9561798348093,262373.20328184625,5247.464065636925,299768.8212653271,5995.376425306542,250219.6274372149,5004.3925487442975,311922.39710995846,6238.447942199169,237505.1173228314,4750.102346456628,324636.90722434194,6492.738144486839
HI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market growth + Tsukumo share growth + ZIP3 PMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Market growth + Tsukumo share growth + ZIP3 PMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
